2020-01-01,Average Tone,0,,,-1.22734
2020-01-02,Average Tone,0,,,-2.90591
2020-01-03,Average Tone,0,,,-2.93214
2020-01-04,Average Tone,-2.3136,,,-2.66097
2020-01-05,Average Tone,-4.8316,,,-2.22166
2020-01-06,Average Tone,0,,,-2.17838
2020-01-07,Average Tone,0,,,-1.97064
2020-01-08,Average Tone,-5.1282,,,-1.86686
2020-01-09,Average Tone,0,,,-1.74859
2020-01-10,Average Tone,0,,,-1.38174
2020-02-01,Average Tone,-2.3274,,,-0.83428
2020-02-02,Average Tone,-2.213,,,-0.9163
2020-02-03,Average Tone,-3.2024,,,-0.67271
2020-02-04,Average Tone,-3.2129,,,-1.41072
2020-02-05,Average Tone,-3.1585,,,-0.30265
2020-02-06,Average Tone,-3.519,,,-0.18069
2020-02-07,Average Tone,-3.2748,,,-0.53646
2020-02-08,Average Tone,-2.4425,,,-0.83384
2020-02-09,Average Tone,-3.0702,,,-1.20847
2020-02-10,Average Tone,-2.6384,,,0.02363
2020-03-01,Average Tone,-2.8164,,,0.35628
2020-03-02,Average Tone,-2.7016,,,0.44167
2020-03-03,Average Tone,-2.6459,,,1.04154
2020-03-04,Average Tone,-3.0864,,,0.22395
2020-03-05,Average Tone,-3.1275,,,0.73123
2020-03-06,Average Tone,-3.0318,,,0.1297
2020-03-07,Average Tone,-2.9308,,,-0.18093
2020-03-08,Average Tone,-2.6302,,,1.1023
2020-03-09,Average Tone,-3.0565,,,
2020-03-10,Average Tone,-3.2943,,,
2020-04-01,Average Tone,-3.0846,,,
2020-04-02,Average Tone,-2.7372,,,
2020-04-03,Average Tone,-3.0866,,,
2020-04-04,Average Tone,-2.4021,,,
2020-04-05,Average Tone,-2.4673,,,
2020-04-06,Average Tone,-2.9414,,,
2020-04-07,Average Tone,-2.4623,,,
2020-04-08,Average Tone,-2.4931,,,
2020-04-09,Average Tone,-2.8982,,,
2020-04-10,Average Tone,-2.0369,,,
2020-05-01,Average Tone,-2.0452,,,
2020-05-02,Average Tone,-2.0365,,,
2020-05-03,Average Tone,-2.2462,,,
2020-05-04,Average Tone,-2.6556,,,
2020-05-05,Average Tone,-2.1286,,,
2020-05-06,Average Tone,-2.0355,,,
2020-05-07,Average Tone,-1.6872,,,
2020-05-08,Average Tone,-2.482,,,
2020-05-09,Average Tone,-1.8986,,,
2020-05-10,Average Tone,-3.0012,,,
2020-06-01,Average Tone,-1.5559,,,
2020-06-02,Average Tone,-2.1382,,,
2020-06-03,Average Tone,-2.8484,,,
2020-06-04,Average Tone,-2.3441,,,
2020-06-05,Average Tone,-2.2921,,,
2020-06-06,Average Tone,-0.8275,,,
2020-06-07,Average Tone,-1.9049,,,
2020-06-08,Average Tone,-2.4731,,,
2020-06-09,Average Tone,-3.2202,,,
2020-06-10,Average Tone,-2.1794,,,
2020-07-01,Average Tone,-1.88,,,
2020-07-02,Average Tone,-2.1645,,,
2020-07-03,Average Tone,-1.9941,,,
2020-07-04,Average Tone,-1.5083,,,
2020-07-05,Average Tone,-2.0966,,,
2020-07-06,Average Tone,-2.0622,,,
2020-07-07,Average Tone,-2.0972,,,
2020-07-08,Average Tone,-1.6476,,,
2020-07-09,Average Tone,-2.0025,,,
2020-07-10,Average Tone,-2.2534,,,
2020-08-01,Average Tone,-1.5866,,,
2020-08-02,Average Tone,-1.7654,,,
2020-08-03,Average Tone,-2.8936,,,
2020-08-04,Average Tone,-1.745,,,
2020-08-05,Average Tone,-2.0989,,,
2020-08-06,Average Tone,-2.1916,,,
2020-08-07,Average Tone,-1.712,,,
2020-08-08,Average Tone,-1.2749,,,
2020-08-09,Average Tone,-1.1638,,,
2020-08-10,Average Tone,-2.2368,,,
2020-09-01,Average Tone,-1.8155,,,
2020-09-02,Average Tone,-2.1435,,,
2020-09-03,Average Tone,-1.8705,,,
2020-09-04,Average Tone,-1.7613,,,
2020-09-05,Average Tone,-1.0514,,,
2020-09-06,Average Tone,-1.6465,,,
2020-09-07,Average Tone,-1.7795,,,
2020-09-08,Average Tone,-1.8757,,,
2020-09-09,Average Tone,-1.8518,,,
2020-09-10,Average Tone,-1.6902,,,
2020-10-01,Average Tone,-1.5722,,,
2020-10-02,Average Tone,-1.3179,,,
2020-10-03,Average Tone,-2.0386,,,
2020-10-04,Average Tone,-1.7226,,,
2020-10-05,Average Tone,-0.9355,,,
2020-10-06,Average Tone,-1.0709,,,
2020-10-07,Average Tone,-1.0084,,,
2020-10-08,Average Tone,-1.7081,,,
2020-10-09,Average Tone,-1.9231,,,
2020-10-10,Average Tone,-0.5201,,,
2020-11-01,Average Tone,-1.4902,,,
2020-11-02,Average Tone,-0.8985,,,
2020-11-03,Average Tone,-1.6888,,,
2020-11-04,Average Tone,-0.8453,,,
2020-11-05,Average Tone,-0.5176,,,
2020-11-06,Average Tone,-1.1323,,,
2020-11-07,Average Tone,-1.1666,,,
2020-11-08,Average Tone,0.2385,,,
2020-11-09,Average Tone,-0.8363,,,
2020-11-10,Average Tone,-0.0057,,,
2020-12-01,Average Tone,-1.6394,,,
2020-12-02,Average Tone,-0.9851,,,
2020-12-03,Average Tone,-1.0911,,,
2020-12-04,Average Tone,-0.6404,,,
2020-12-05,Average Tone,-1.0979,,,
2020-12-06,Average Tone,-0.6169,,,
2020-12-07,Average Tone,-1.1579,,,
2020-12-08,Average Tone,-0.5103,,,
2020-12-09,Average Tone,-0.4934,,,
2020-12-10,Average Tone,-0.9306,,,
2021-01-01,Average Tone,-0.0459,,,
2021-01-02,Average Tone,-1.7744,,,
2021-01-03,Average Tone,-0.0722,,,
2021-01-04,Average Tone,-0.4945,,,
2021-01-05,Average Tone,0.8531,,,
2021-01-06,Average Tone,-0.9988,,,
2021-01-07,Average Tone,-0.3227,,,
2021-01-08,Average Tone,-0.0867,,,
2021-01-09,Average Tone,-2.2465,,,
2021-01-10,Average Tone,-1.5385,,,
2021-02-01,Average Tone,-2.0604,,,
2021-02-02,Average Tone,-0.0582,,,
2021-02-03,Average Tone,-2.15,,,
2021-02-04,Average Tone,-1.332,,,
2021-02-05,Average Tone,-0.6165,,,
2021-02-06,Average Tone,-1.0895,,,
2021-02-07,Average Tone,-4.2148,,,
2021-02-08,Average Tone,-1.3712,,,
2021-02-09,Average Tone,-0.3343,,,
2021-02-10,Average Tone,-0.8803,,,
2021-03-01,Average Tone,1.5936,,,
2021-03-02,Average Tone,0.2231,,,
2021-03-03,Average Tone,-0.8284,,,
2021-03-04,Average Tone,0.016,,,
2021-03-05,Average Tone,-2.2491,,,
2021-03-06,Average Tone,-2.8725,,,
2021-03-07,Average Tone,0.8122,,,
2021-03-08,Average Tone,0.4637,,,
2021-03-09,Average Tone,-0.0653,,,
2021-03-10,Average Tone,0.7605,,,
2021-04-01,Average Tone,-0.2679,,,
2021-04-02,Average Tone,0.2925,,,
2021-04-03,Average Tone,-0.9423,,,
2021-04-04,Average Tone,-0.3179,,,
2021-04-05,Average Tone,0.6303,,,
2021-04-06,Average Tone,-0.2165,,,
2021-04-07,Average Tone,0.1925,,,
2021-04-08,Average Tone,-0.2561,,,
2021-04-09,Average Tone,-0.3392,,,
2021-04-10,Average Tone,-0.5823,,,
2021-05-01,Average Tone,0.7295,,,
2021-05-02,Average Tone,0.2753,,,
2021-05-03,Average Tone,-0.5427,,,
2021-05-04,Average Tone,-0.4446,,,
2021-05-05,Average Tone,-0.0188,,,
2021-05-06,Average Tone,0.3508,,,
2021-05-07,Average Tone,-2.5061,,,
2021-05-08,Average Tone,-0.6908,,,
2021-05-09,Average Tone,-1.6018,,,
2021-05-10,Average Tone,-0.9154,,,
2021-06-01,Average Tone,-0.7198,,,
2021-06-02,Average Tone,-2.5611,,,
2021-06-03,Average Tone,-1.9392,,,
2021-06-04,Average Tone,-1.5854,,,
2021-06-05,Average Tone,0,,,
2021-06-06,Average Tone,-0.0527,,,
2021-06-07,Average Tone,0.9131,,,
2021-06-08,Average Tone,-1.1966,,,
2021-06-09,Average Tone,-0.8159,,,
2021-06-10,Average Tone,-0.3808,,,
2021-07-01,Average Tone,-0.9565,,,
2021-07-02,Average Tone,-1.1927,,,
2021-07-03,Average Tone,-0.0282,,,
2021-07-04,Average Tone,-3.0966,,,
2021-07-05,Average Tone,-1.141,,,
2021-07-06,Average Tone,-0.9346,,,
2021-07-07,Average Tone,-1.3205,,,
2021-07-08,Average Tone,0.2104,,,
2021-07-09,Average Tone,-0.563,,,
2021-07-10,Average Tone,-3.062,,,
2021-08-01,Average Tone,-0.1501,,,
2021-08-02,Average Tone,0.818,,,
2021-08-03,Average Tone,-0.5224,,,
2021-08-04,Average Tone,-0.0216,,,
2021-08-05,Average Tone,0.7331,,,
2021-08-06,Average Tone,0.9957,,,
2021-08-07,Average Tone,0.7925,,,
2021-08-08,Average Tone,-0.8121,,,
2021-08-09,Average Tone,-1.1645,,,
2021-08-10,Average Tone,-0.4323,,,
2021-09-01,Average Tone,0.2493,,,
2021-09-02,Average Tone,0.4452,,,
2021-09-03,Average Tone,0.2774,,,
2021-09-04,Average Tone,0.4575,,,
2021-09-05,Average Tone,-0.596,,,
2021-09-06,Average Tone,1.2433,,,
2021-09-07,Average Tone,0.8116,,,
2021-09-08,Average Tone,0.7019,,,
2021-09-09,Average Tone,0.0338,,,
2021-09-10,Average Tone,0.3711,,,
2021-10-01,Average Tone,1.0741,,,
2021-10-02,Average Tone,-0.4436,,,
2021-10-03,Average Tone,0.7116,,,
2021-10-04,Average Tone,0.4872,,,
2021-10-05,Average Tone,0.1175,,,
2021-10-06,Average Tone,0.3035,,,
2021-10-07,Average Tone,0.6332,,,
2021-10-08,Average Tone,-0.5264,,,
2021-10-09,Average Tone,1.5212,,,
2021-10-10,Average Tone,0.5384,,,
2021-11-01,Average Tone,1.5179,,,
2021-11-02,Average Tone,1.415,,,
2021-11-03,Average Tone,0.5367,,,
2021-11-04,Average Tone,0.0567,,,
2021-11-05,Average Tone,0.0339,,,
2021-11-06,Average Tone,1.625,,,
2021-11-07,Average Tone,3.7603,,,
2021-11-08,Average Tone,-0.3771,,,
2021-11-09,Average Tone,0.5458,,,
2021-11-10,Average Tone,1.3012,,,
2021-12-01,Average Tone,0.8623,,,
2021-12-02,Average Tone,1.3725,,,
2021-12-03,Average Tone,-0.5539,,,
2021-12-04,Average Tone,0.6868,,,
2021-12-05,Average Tone,-1.9006,,,
2021-12-06,Average Tone,0.6384,,,
2021-12-07,Average Tone,0.342,,,
2021-12-08,Average Tone,1.4981,,,
2021-12-09,Average Tone,0.6004,,,
2021-12-10,Average Tone,-1.3065,,,
2022-01-01,Average Tone,2.7278,,,
2022-01-02,Average Tone,2.5417,,,
2022-01-03,Average Tone,0.0831,,,
2022-01-04,Average Tone,-0.5029,,,
2022-01-05,Average Tone,1.0086,,,
2022-01-06,Average Tone,-0.2475,,,
2022-01-07,Average Tone,0.7662,,,
2022-01-08,Average Tone,1.1333,,,
2022-01-09,Average Tone,-0.0331,,,
2022-01-10,Average Tone,-0.1649,,,
2022-02-01,Average Tone,1.1816,,,
2022-02-02,Average Tone,-0.1389,,,
2022-02-03,Average Tone,0.2598,,,
2022-02-04,Average Tone,0.0519,,,
2022-02-05,Average Tone,-2.5282,,,
2022-02-06,Average Tone,1.3395,,,
2022-02-07,Average Tone,-1.8615,,,
2022-02-08,Average Tone,0.2801,,,
2022-02-09,Average Tone,1.2737,,,
2022-02-10,Average Tone,1.439,,,
2022-03-01,Average Tone,-1.9322,,,
2022-03-02,Average Tone,0.2321,,,
2022-03-03,Average Tone,-0.3288,,,
2022-03-04,Average Tone,-0.5405,,,
2022-03-05,Average Tone,-0.6639,,,
2022-03-06,Average Tone,-0.8346,,,
2022-03-07,Average Tone,0.3298,,,
2022-03-08,Average Tone,0.5013,,,
2022-03-09,Average Tone,1.3394,,,
2022-03-10,Average Tone,0.0881,,,
2022-04-01,Average Tone,1.6885,,,
2022-04-02,Average Tone,2.3061,,,
2022-04-03,Average Tone,-1.1024,,,
2022-04-04,Average Tone,-0.0128,,,
2022-04-05,Average Tone,0.8437,,,
2022-04-06,Average Tone,0.7668,,,
2022-04-07,Average Tone,0.9911,,,
2022-04-08,Average Tone,1.5834,,,
2022-04-09,Average Tone,3.1412,,,
2022-04-10,Average Tone,0.8174,,,
